User: 41 | Event: River vs. Quilmes | Item: Resultado | Option: Gana Visitante | Amount: 83.0 | Pays: 11.2 - Lost.
User: 31 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 73.0 | Pays: 2.0 - Won: 146.0. 
User: 30 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: <10.5 | Amount: 9.0 | Pays: 3.4 - Lost.
User: 29 | Event: River vs. Quilmes | Item: Resultado | Option: Gana Local | Amount: 59.0 | Pays: 1.4 - Won: 82.6. 
User: 8 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: >1.5 | Amount: 90.0 | Pays: 2.1 - Won: 189.0. 
User: 17 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 95.0 | Pays: 2.0 - Won: 190.0. 
User: 2 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: >1.5 | Amount: 48.0 | Pays: 6.26 - Lost.
User: 5 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: <1.5 | Amount: 41.0 | Pays: 5.3 - Lost.
User: 31 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: <1.5 | Amount: 37.0 | Pays: 3.64 - Lost.
User: 4 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: >1.5 | Amount: 1.0 | Pays: 3.37 - Won: 3.37. 
User: 5 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: >10.5 | Amount: 17.0 | Pays: 7.1 - Won: 120.7. 
User: 2 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: >10.5 | Amount: 49.0 | Pays: 2.46 - Won: 120.54. 
User: 10 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: <10.5 | Amount: 60.0 | Pays: 9.29 - Lost.
User: 38 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: >10.5 | Amount: 4.0 | Pays: 1.46 - Won: 5.84. 
User: 0 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 7.0 | Pays: 1.23 - Won: 8.61. 
User: 31 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: <1.5 | Amount: 15.0 | Pays: 2.86 - Lost.
User: 31 | Event: River vs. Quilmes | Item: Resultado | Option: Gana Visitante | Amount: 5.0 | Pays: 15.85 - Lost.
User: 29 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: >10.5 | Amount: 64.0 | Pays: 1.42 - Won: 90.88. 
User: 44 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 20.0 | Pays: 1.19 - Won: 23.8. 
User: 30 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: <1.5 | Amount: 11.0 | Pays: 2.63 - Lost.
User: 19 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: <10.5 | Amount: 71.0 | Pays: 6.98 - Lost.
User: 49 | Event: River vs. Quilmes | Item: Resultado | Option: Gana Visitante | Amount: 32.0 | Pays: 15.31 - Lost.
User: 21 | Event: River vs. Quilmes | Item: Cantidad de tarjetas amarillas | Option: >5.5 | Amount: 72.0 | Pays: 2.8 - Won: 201.6. 
User: 31 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 32.0 | Pays: 1.09 - Won: 34.88. 
User: 35 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: >10.5 | Amount: 88.0 | Pays: 1.27 - Won: 111.76. 
User: 15 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: >1.5 | Amount: 86.0 | Pays: 6.06 - Lost.
User: 44 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: >1.5 | Amount: 67.0 | Pays: 3.82 - Won: 255.94. 
User: 31 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 76.0 | Pays: 1.25 - Won: 95.0. 
User: 11 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: <1.5 | Amount: 5.0 | Pays: 3.11 - Lost.
User: 5 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 48.0 | Pays: 1.03 - Won: 49.44. 
User: 49 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: >1.5 | Amount: 92.0 | Pays: 2.89 - Won: 265.88. 
User: 37 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 43.0 | Pays: 1.01 - Won: 43.43. 
User: 43 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 6.0 | Pays: 1.01 - Won: 6.06. 
User: 2 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: >10.5 | Amount: 42.0 | Pays: 1.01 - Won: 42.42. 
User: 2 | Event: River vs. Quilmes | Item: Cantidad de tarjetas amarillas | Option: >5.5 | Amount: 23.0 | Pays: 2.8 - Won: 64.4. 
User: 16 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: <10.5 | Amount: 80.0 | Pays: 7.1 - Lost.
User: 40 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: <10.5 | Amount: 85.0 | Pays: 5.93 - Lost.
User: 11 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: <1.5 | Amount: 72.0 | Pays: 3.83 - Lost.
User: 49 | Event: River vs. Quilmes | Item: Resultado | Option: Gana Local | Amount: 17.0 | Pays: 1.23 - Won: 20.91. 
User: 2 | Event: River vs. Quilmes | Item: Cantidad de tarjetas amarillas | Option: >5.5 | Amount: 19.0 | Pays: 2.12 - Won: 40.28. 
User: 6 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: >10.5 | Amount: 60.0 | Pays: 1.36 - Won: 81.6. 
User: 34 | Event: River vs. Quilmes | Item: Cantidad de tarjetas amarillas | Option: <5.5 | Amount: 42.0 | Pays: 4.63 - Lost.
User: 21 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: <1.5 | Amount: 11.0 | Pays: 3.19 - Lost.
User: 12 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: >1.5 | Amount: 4.0 | Pays: 6.52 - Lost.
User: 15 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: <10.5 | Amount: 23.0 | Pays: 5.52 - Lost.
User: 46 | Event: River vs. Quilmes | Item: Cantidad de tarjetas amarillas | Option: <5.5 | Amount: 36.0 | Pays: 3.38 - Lost.
User: 49 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: <10.5 | Amount: 3.0 | Pays: 5.33 - Lost.
User: 47 | Event: River vs. Quilmes | Item: Cantidad de tarjetas amarillas | Option: <5.5 | Amount: 58.0 | Pays: 2.75 - Lost.
User: 47 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: >10.5 | Amount: 87.0 | Pays: 1.28 - Won: 111.36. 
User: 18 | Event: River vs. Quilmes | Item: Resultado | Option: Gana Local | Amount: 69.0 | Pays: 1.12 - Won: 77.28. 
User: 40 | Event: River vs. Quilmes | Item: Cantidad de goles | Option: <1.5 | Amount: 73.0 | Pays: 3.11 - Lost.
User: 6 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: >1.5 | Amount: 51.0 | Pays: 6.47 - Lost.
User: 42 | Event: River vs. Quilmes | Item: Resultado | Option: Empate | Amount: 25.0 | Pays: 10.64 - Lost.
User: 5 | Event: River vs. Quilmes | Item: Resultado | Option: Gana Visitante | Amount: 72.0 | Pays: 18.7 - Lost.
User: 8 | Event: River vs. Quilmes | Item: Resultado | Option: Gana Visitante | Amount: 61.0 | Pays: 14.98 - Lost.
User: 11 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 35.0 | Pays: 1.1 - Won: 38.5. 
User: 3 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: <10.5 | Amount: 86.0 | Pays: 5.93 - Lost.
User: 43 | Event: River vs. Quilmes | Item: Resultado | Option: Gana Visitante | Amount: 19.0 | Pays: 12.82 - Lost.
User: 24 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: >1.5 | Amount: 9.0 | Pays: 6.24 - Lost.
User: 35 | Event: River vs. Quilmes | Item: Cantidad de corners | Option: >10.5 | Amount: 81.0 | Pays: 1.25 - Won: 101.25. 
User: 40 | Event: River vs. Quilmes | Item: Cantidad de tarjetas rojas | Option: <1.5 | Amount: 17.0 | Pays: 1.05 - Won: 17.85. 
